id	url	estudio_clinico	tipo_estudio	fase_estudio_clinico	condicion_primaria_estudio	condicion_secundaria_estudio	tipo_celula	pais	n_participantes	edad_min_participante	edad_max_participante	genero_participante	n_patrocinadores	fecha_inicio	fecha_conclusion
1	https://hpscreg.eu/browse/trial/202	Stereotactic Intracerebral Injection of IPSC-DAPs in Patients with Parkinson's Disease	Interventional	Phase 1	Parkinson Disease		dopaminergic neuron	China	12	39.0	75.0	All	1	2025-05-15	2026-09-30
2	https://hpscreg.eu/browse/trial/207	A Study to Investigate the Safety of DSP-3077 After a Unilateral Eye Injection in Male and Female Participants 18 Years of Age or Older with Retinitis Pigmentosa	Interventional	Phases 1/2	Retinitis Pigmentosa		retina		12	18.0		All	1	2025-05-01	2032-10-31
3	https://hpscreg.eu/browse/trial/206	A Study to Evaluate the Safety of a Delivery Device for Administering LCTOPC1 in Participants with Spinal Cord Injury (DOSED)	Interventional	Phase 1	Spinal Cord Injury, Chronic		oligodendrocyte precursor cell	United States	10	18.0	65.0	All	1	2025-04-30	2037-04-27
4	https://hpscreg.eu/browse/trial/199	A Study to Investigate the Safety of OpCT-001 in Adults Who Have Primary Photoreceptor Disease (CLARICO) (CLARICO)	Interventional	Phases 1/2	Inherited Retinal Disease (IRD)		photoreceptor cell	United States	54	18.0		All	1	2025-03-10	2030-10-31
5	https://hpscreg.eu/browse/trial/201	A Trial to Evaluate the Safety, Tolerability and Preliminary Efficacy of NCR101 in the Treatment of Subjects With Interstitial Lung Disease	Interventional	Phases 1/2	Interstitial Lung Disease (ILD)		mesenchymal stem cell		30	18.0		All	1	2025-03-01	2028-09-01
6	https://hpscreg.eu/browse/trial/200	Induced Pluripotent Stem Cell Derived Exosomes Nasal Drops for the Treatment of Stable Vitiligo	Interventional	Early Phase 1	Stable Vitiligo			China	29	18.0	60.0	All	1	2025-02-05	2026-11-17
7	https://hpscreg.eu/browse/trial/205	The Safety and Efficacy of VGO-Cs01p in Patients With CD7-positive Relapsed/​Refractory Acute T-lymphoblastic Leukemia	Interventional	Early Phase 1	T-ALL		natural killer cell		9	2.0	18.0	All	1	2025-02-01	2026-10-31
8	https://hpscreg.eu/browse/trial/203	Exploratory Study on the Treatment of Moderate to Severe Acute Respiratory Distress Syndrome in Children with Exosomes Derived from Induced Pluripotent Stem Cells (iPSC-Exo)	Interventional study	Phase 2	ARDS			China	28	1.0	12.0	Both	1	2025-01-01	2026-12-31
9	https://hpscreg.eu/browse/trial/204	iPSC-Derived CTL Therapy for Cervical Cancer: Phase I clinical trial (iPSC-Derived CTL Therapy for Cervical Cancer: Phase I clini		Phase 1			cytotoxic T cell		12					2024-12-27	2028-12-31
10	https://hpscreg.eu/browse/trial/197	An open-label, single-center, first-in-human study to evaluate the safety, tolerability and activity of autologous human induced pluripotent stem cell derived endothelial cells (hiPSC-ECs) in patients with peripheral artery disease	Interventional Study	Not applicable			endothelial cell	Korea, Republic of	10	45.0	75.0	Both	1	2024-12-20	2028-08-13
